X,Y,AGEB
-96.7959734902189,16.977310249847,2002300010036
-96.7961203401351,16.9774439698029,2002300010036
-96.7962016197822,16.9775452901756,2002300010036
-96.7962434898326,16.977725450183,2002300010036
-96.7962416299812,16.9778840003853,2002300010036
-96.7961687096374,16.9780100596233,2002300010036
-96.7960865797906,16.9781420895859,2002300010036
-96.7959682203088,16.9783200797331,2002300010036
-96.7959727096115,16.978438910367,2002300010036
-96.796019570394,16.9785423103642,2002300010036
-96.79612801968,16.9786703396987,2002300010036
-96.7962489200742,16.978786519825,2002300010036
-96.7963243396052,16.9789009504125,2002300010036
-96.7964397701275,16.9789785704326,2002300010036
-96.7965620503305,16.9790457398721,2002300010036
-96.7966738500029,16.9791281197993,2002300010036
-96.796794550175,16.9791978895972,2002300010036
-96.7969197403717,16.9792599401758,2002300010036
-96.7970461195592,16.9793057500403,2002300010036
-96.797156679811,16.9793301101805,2002300010036
-96.7973247698931,16.9793782599918,2002300010036
-96.7974398000393,16.9794304796029,2002300010036
-96.7975831498912,16.9795339698979,2002300010036
-96.7977170499616,16.9796234503582,2002300010036
-96.7978506898338,16.9797314602345,2002300010036
-96.7979016500573,16.9799080897393,2002300010036
-96.7980474601122,16.9800070496475,2002300010036
-96.7982408595696,16.9800026198414,2002300010036
-96.7984199701941,16.979995650295,2002300010036
-96.7984773700854,16.9800615103338,2002300010036
-96.7985344204042,16.9801553399759,2002300010036
-96.7985526200766,16.9802580801474,2002300010036
-96.798611460176,16.9803606603163,2002300010036
-96.7986665395823,16.9804643701963,2002300010036
-96.7987140302625,16.9805487697226,2002300010036
-96.7987515804363,16.9806517104043,2002300010036
-96.7987696803404,16.9807637503493,2002300010036
-96.7988267499316,16.9808575797538,2002300010036
-96.7987962496701,16.9809784302413,2002300010036
-96.7988002901222,16.9810881700477,2002300010036
-96.7986986802,16.9812027701466,2002300010036
-96.7985997196482,16.9813344603246,2002300010036
-96.7985037095857,16.9814247399891,2002300010036
-96.7984028196568,16.9815076597645,2002300010036
-96.7982623699445,16.981588979578,2002300010036
-96.798146199883,16.9817021099117,2002300010036
-96.7980735995658,16.9818963497454,2002300010036
-96.7978367696489,16.981852620306,2002300010036
-96.7974599100306,16.9817846197952,2002300010036
-96.7973346596151,16.9817736804094,2002300010036
-96.7972088799033,16.9817779703514,2002300010036
-96.7970314296417,16.981819849959,2002300010036
-96.7969192495742,16.9818404000235,2002300010036
-96.7967752800529,16.9818457200114,2002300010036
-96.7966185101859,16.9818009701753,2002300010036
-96.7964575995935,16.9817114798906,2002300010036
-96.7963221100531,16.9816734602061,2002300010036
-96.7959278299547,16.9816742903742,2002300010036
-96.7954936203536,16.9816826501742,2002300010036
-96.7953105103342,16.9816806602455,2002300010036
-96.7949176503065,16.9818152900393,2002300010036
-96.7947364501814,16.9818519403336,2002300010036
-96.7943358298871,16.9818972597015,2002300010036
-96.7939258199236,16.9818446603787,2002300010036
-96.7936216003334,16.9818603503996,2002300010036
-96.7933483502109,16.9818788601671,2002300010036
-96.7929189401752,16.9819704300258,2002300010036
-96.7924573799673,16.9820704201655,2002300010036
-96.7920821097097,16.9821347401655,2002300010036
-96.7918497203449,16.9821822303574,2002300010036
-96.7915956500746,16.9822300497858,2002300010036
-96.7911829202944,16.9822675501053,2002300010036
-96.7909870595649,16.9822558202761,2002300010036
-96.790874570046,16.9822479096417,2002300010036
-96.7902567098799,16.9823071496633,2002300010036
-96.7898858495765,16.9823128902944,2002300010036
-96.7894234897091,16.9823225397043,2002300010036
-96.7892843097408,16.982318580363,2002300010036
-96.7889912899387,16.9823091702082,2002300010036
-96.7887407996838,16.9822809198975,2002300010036
-96.7881797696088,16.9822290496105,2002300010036
-96.7879223095251,16.9822052504171,2002300010036
-96.7878731496482,16.9822006895501,2002300010036
-96.7876306995194,16.9821791800792,2002300010036
-96.7875085704432,16.9821683398172,2002300010036
-96.7874483894815,16.9821630002468,2002300010036
-96.7868473796303,16.9821096600943,2002300010036
-96.7866502697561,16.9820921700745,2002300010036
-96.7866226596801,16.9820902499544,2002300010036
-96.7865897801214,16.9820879701782,2002300010036
-96.7863011101911,16.9820679204474,2002300010036
-96.7858585204312,16.9820371696783,2002300010036
-96.7856649195943,16.9820228597947,2002300010036
-96.7855385804496,16.982038820076,2002300010036
-96.7852453095872,16.9821134201952,2002300010036
-96.7851536194624,16.9821367473171,2002300010036
-96.7850239402837,16.9821697397105,2002300010036
-96.784675689867,16.9821952601077,2002300010036
-96.7846105496162,16.9821984898735,2002300010036
-96.7843970494916,16.9822090654179,2002300010036
-96.7842309803983,16.9822172896584,2002300010036
-96.7841090204031,16.9822200799537,2002300010036
-96.7837060415576,16.9822955503726,2002300010036
-96.7836737798978,16.9823015804219,2002300010036
-96.7835463404303,16.982320583532,2002300010036
-96.7834142796877,16.982340280154,2002300010036
-96.7831802298622,16.9823743604405,2002300010036
-96.7831209091201,16.9823756145491,2002300010036
-96.7831157110227,16.982375725193,2002300010036
-96.7830277996435,16.9823775796347,2002300010036
-96.7828505746293,16.9823663905294,2002300010036
-96.7826396242904,16.9823440601164,2002300010036
-96.7819651996331,16.9822463497548,2002300010036
-96.7816585104554,16.9821941801669,2002300010036
-96.7815697096415,16.9821750799603,2002300010036
-96.781296579198,16.9821163003695,2002300010036
-96.7810674195753,16.9820710603556,2002300010036
-96.7809670498406,16.9820512500815,2002300010036
-96.7808661298778,16.9820313201945,2002300010036
-96.7807182502623,16.9820053503819,2002300010036
-96.7804598803245,16.9819599803293,2002300010036
-96.7800934799882,16.9818870402406,2002300010036
-96.7800775103528,16.9819338596479,2002300010036
-96.7800062503268,16.9820913998051,2002300010036
-96.7799099499357,16.9825635697704,2002300010036
-96.7797947799664,16.983005170017,2002300010036
-96.7796913504599,16.9832700600025,2002300010036
-96.779643540105,16.9834309098686,2002300010036
-96.779599479537,16.9835288602294,2002300010036
-96.7795427104094,16.9836551396098,2002300010036
-96.7794738896528,16.983822599992,2002300010036
-96.7793935803702,16.9840524503255,2002300010036
-96.7792954495519,16.9843111099982,2002300010036
-96.7792307502807,16.9845338798622,2002300010036
-96.7791041199343,16.9847977702185,2002300010036
-96.7791495404478,16.9850945496036,2002300010036
-96.7785984503387,16.9850447503675,2002300010036
-96.7783516800961,16.9849615798216,2002300010036
-96.7781658804205,16.9847644203128,2002300010036
-96.777943430353,16.9846054501822,2002300010036
